iso,Country,area_ha,population,Fa_tf_mean,Fa_tf_std,Fb_mean,Fb_std,Fc_mean,Fc_std,Fab_tf_mean,Fab_tf_std,Fabc_tf_mean,Fabc_tf_std
BEL,Belgium,3066954.2277893294,11538604.0,-3.472344941931596e-11,1.0265730970068684e-10,1.4440697483745504e-10,1.233328113184618e-10,8.676116032565877e-09,1.1312353215177923e-24,1.0968352291754746e-10,1.2674363690718932e-10,8.785799555483425e-09,1.2674363690718932e-10
BEN,Benin,11611336.371311942,13070169.0,-1.7602668070575093e-11,2.7527255242532076e-11,2.6150330779340973e-10,1.5467403590075107e-10,1.5932780797484304e-10,1.8674890431462072e-26,2.439006403114663e-10,1.522134741346749e-10,4.0322844828630933e-10,1.522134741346749e-10
BES,"Bonaire, Saint Eustatius and Saba",,,,,,,,,,,,
BFA,Burkina Faso,27276876.368909676,21478690.0,0.0,0.0,1.7958878009886327e-10,5.214849531195638e-11,4.574084698169464e-11,7.949606529883194e-27,1.7958878009886327e-10,5.217458913160691e-11,2.2532962708055794e-10,5.217458913160691e-11
BGD,Bangladesh,13690370.63791398,166298024.0,-1.3364011452934456e-10,7.1493075380254e-11,1.0904648190207603e-10,1.983517671829275e-10,1.7091635537324102e-09,0.0,-2.4593626035781515e-11,1.7885199766237218e-10,1.6845699276966285e-09,1.7885199766237218e-10
BGR,Bulgaria,11275988.251151955,6934015.0,-2.106494745378385e-10,1.221788875009918e-10,-7.802360905351424e-11,6.076624277953642e-11,1.0674405077938119e-09,1.5384225642480497e-25,-2.8867308401990056e-10,1.5818099210926215e-10,7.787674237739113e-10,1.5818099210926215e-10
BHR,Bahrain,68811.79950332482,1472204.0,,,-2.2399210762182252e-12,5.210515776627909e-12,1.3460159629137112e-07,5.041936087990228e-23,,,,
BHS,The Bahamas,1260387.3447043716,395863.0,-2.506414963045323e-13,1.0009718086275418e-12,-3.568105486694516e-12,4.052395226216374e-12,5.01708301576147e-10,8.60213470915013e-26,-3.818746994478337e-12,4.532346852756506e-12,4.978895545817229e-10,4.5323468527565176e-12
BIH,Bosnia and Herzegovina,5182670.958331842,3299349.0,-2.34516045832709e-10,1.6845438906293378e-10,1.2046747806674549e-11,5.973906440752592e-11,1.092922397312923e-09,1.6735805629219094e-25,-2.2246932132855565e-10,1.8593530583634997e-10,8.704530759843671e-10,1.8593530583634997e-10
BIR,Bir Tawil,,,,,,,,,,,,
BLR,Belarus,20749942.310960855,9379952.0,-2.675679005173536e-10,2.1132791283393906e-10,8.230684405796379e-11,5.833945510064139e-11,7.993407084323816e-10,1.672027276008825e-25,-1.8526106004821903e-10,2.3764989756079727e-10,6.140796483841577e-10,2.3764989756079727e-10
BLZ,Belize,2229937.620303661,390812.0,-3.131832898109941e-10,2.606426900501607e-10,7.498927403952163e-10,2.388421012914581e-10,7.309471608506428e-11,2.4310145777482858e-26,4.3670945346407867e-10,3.5298828819898164e-10,5.098041695491429e-10,3.5298828819898164e-10
BMU,Bermuda,6230.201577628656,64382.0,,,,,2.532591950500845e-08,4.350590261712584e-24,,,,
BOL,Bolivia,108680782.71680184,11816299.0,-2.34502488507197e-10,1.9901858874500103e-10,1.4343149730177722e-10,4.061015490818575e-11,5.230364053402242e-11,0.0,-9.10709960328105e-11,1.9743092329010434e-10,-3.876735549878716e-11,1.9743092329010434e-10
BRA,Brazil,847266181.993501,208660842.0,-2.807412063117427e-10,2.53642555984429e-10,3.68172923808958e-10,1.1225914998155666e-10,1.6072502709521286e-10,3.2758979651853754e-26,8.743170886342873e-11,2.6513300670316477e-10,2.481567359586417e-10,2.6513300670316477e-10
BRB,Barbados,44422.31342934105,281698.0,,,-2.9474070549761143e-10,2.5544262815526474e-10,9.589686990951006e-09,1.2203351072767253e-24,,,,
BRN,Brunei,571663.5850559629,447404.0,-6.525456225508603e-10,1.0506541184378612e-09,4.148690597054257e-10,1.3158021597447442e-10,4.264929261869675e-09,1.5172590325190879e-24,-2.376765463301269e-10,1.0328910011448366e-09,4.027252715539548e-09,1.0328910011448366e-09
BTN,Bhutan,4042132.3377428544,770006.0,-4.1235629136544997e-10,3.4319717517577515e-10,1.3501651044526463e-10,2.6951350170636205e-10,7.79938389053693e-11,1.3411265167668013e-26,-2.7733978108128843e-10,4.744694465830494e-10,-1.9934594217591917e-10,4.744694465830494e-10
BWA,Botswana,57902928.72744397,2365894.0,0.0,0.0,2.8273013316923573e-11,4.2642248378421436e-11,3.0059838982039926e-11,3.744895798238374e-27,2.8273013316923573e-11,4.2663585506792196e-11,5.833285229896524e-11,4.2663585506792196e-11
CAF,Central African Republic,61798355.891486675,5026628.0,-4.485211556221742e-10,2.1829877681031394e-10,2.8373306679531765e-11,1.7707803650408317e-11,9.025694072588673e-13,2.193023901779205e-28,-4.201478090635702e-10,2.207595085793989e-10,-4.192452396563121e-10,2.207595085793989e-10
CAN,Canada,994562761.728379,38028638.0,-1.743412147250238e-10,7.223667803040166e-11,2.8829841077270083e-11,1.0368133214387733e-11,1.5389489823438744e-10,0.0,-1.4551138026956577e-10,7.760225560309958e-11,8.383517964821449e-12,7.760225560309958e-11
CHE,Switzerland,4143548.6668493496,8638167.0,-1.497721759527154e-10,1.8167191953663832e-10,-6.306697447304317e-11,8.521219124673001e-11,2.4690821985514932e-09,4.186564743055974e-25,-2.128391540062402e-10,1.8405732905116338e-10,2.2562430445452528e-09,1.8405732905116338e-10
CHL,Chile,73659504.4351931,19370624.0,-1.0629487749118161e-10,1.0226191117844509e-10,1.937259135724267e-11,4.961861493916007e-11,3.0952246582123277e-10,0.0,-8.692229127484647e-11,1.1886210512360946e-10,2.2260017454638492e-10,1.1886210512360946e-10
CHN,China,937521538.1685851,1411100000.0,-1.1729046803000122e-10,4.888397987050714e-11,-4.752288850028344e-11,2.651245265750321e-11,3.039691189067414e-09,9.473685494577011e-25,-1.6481334765246804e-10,6.664852214315716e-11,2.8748778414149464e-09,6.664852214315716e-11
CIV,Ivory Coast,32067726.68327308,28915449.0,-2.948329980912444e-10,1.8950585615318497e-10,7.094121548960993e-10,2.67018479890213e-10,9.155984451870153e-11,0.0,4.1457915558127893e-10,3.026053458677866e-10,5.061390000999805e-10,3.026053458677866e-10
CMR,Cameroon,46431846.85302737,26210558.0,-4.869247840079378e-10,2.1571134208173243e-10,1.6169508963890135e-10,5.3456916487739615e-11,4.526795881416586e-11,9.340159790907084e-27,-3.2522965129357566e-10,2.089709715951535e-10,-2.799616924794076e-10,2.089709715951535e-10
COD,Democratic Republic of the Congo,232524013.44822502,95989998.0,-7.982911409764201e-10,2.862060955042749e-10,6.554583485199314e-10,2.5703636602704284e-11,3.964114488074764e-12,1.3988260692828422e-27,-1.4283278048202737e-10,2.755556079666937e-10,-1.3886866599395259e-10,2.755556079666937e-10
COG,Republic of the Congo,34488865.818718016,5752791.0,-6.860093377486269e-10,3.0974503644599955e-10,1.2089808096087137e-10,4.322678287652708e-11,3.009139084994059e-11,0.0,-5.651112173882285e-10,3.040438866004373e-10,-5.350198265382879e-10,3.040438866004373e-10
