flux,sink_iso,sink_country,target_iso,target_country,forest_ha,flow_per_ha_mean,flow_per_ha_q17,flow_per_ha_q83
Fabc_tf,AGO,Angola,COD,Democratic Republic of the Congo,66607380.00000001,1.5012850900305934,-0.4502117265231622,3.6322373116775752
Fabc_tf,AGO,Angola,COG,Republic of the Congo,66607380.00000001,0.19300165529542562,-0.05424279876701513,0.4664223154066488
Fabc_tf,AGO,Angola,COL,Colombia,66607380.00000001,1.1324621781986994,-0.36022580733173665,2.7827264665928624
Fabc_tf,AGO,Angola,COM,Comoros,66607380.00000001,0.011593520972323901,-0.003052889885579658,0.028506480785284147
Fabc_tf,AGO,Angola,CPV,Cabo Verde,66607380.00000001,0.00491321810023628,-0.001870829146812221,0.01254401949629871
Fabc_tf,AGO,Angola,CRI,Costa Rica,66607380.00000001,0.14341020745014205,-0.03803834847877425,0.33337683950532837
Fabc_tf,AGO,Angola,CUB,Cuba,66607380.00000001,0.11994814352480333,-0.032602155150302486,0.2978834298106
Fabc_tf,AGO,Angola,CYP,Cyprus,66607380.00000001,0.02328322390263542,-0.007424857806292112,0.056534211145886464
Fabc_tf,AGO,Angola,DJI,Djibouti,66607380.00000001,0.02507883394191841,-0.012031073440425463,0.07214614612351
Fabc_tf,AGO,Angola,DOM,Dominican Republic,66607380.00000001,0.281710421780571,-0.07786507829158262,0.6951774652459983
Fabc_tf,AGO,Angola,DZA,Algeria,66607380.00000001,0.5433450615789279,-0.18118325042780623,1.4269716484047237
Fabc_tf,AGO,Angola,ECU,Ecuador,66607380.00000001,0.28425974062715725,-0.0940259382219968,0.6672762056245031
Fabc_tf,AGO,Angola,EGY,Egypt,66607380.00000001,2.877379729487933,-0.7596231437163709,7.256343398274714
Fabc_tf,AGO,Angola,ERI,Eritrea,66607380.00000001,0.04779030034123016,-0.013742230106723576,0.11772974468768688
Fabc_tf,AGO,Angola,ESP,Spain,66607380.00000001,0.6151131999809136,-0.38410631983831245,1.6389997375352754
Fabc_tf,AGO,Angola,ETH,Ethiopia,66607380.00000001,1.4785842269528098,-0.467537555584656,3.5253197522792563
Fabc_tf,AGO,Angola,FJI,Fiji,66607380.00000001,0.008494571598660579,-0.004244828644599883,0.023927250507906027
Fabc_tf,AGO,Angola,GAB,Gabon,66607380.00000001,0.07375523498544592,-0.02004059271725425,0.1774259408525599
Fabc_tf,AGO,Angola,GHA,Ghana,66607380.00000001,0.8441000961383566,-0.23187376826852116,2.0993112484480387
Fabc_tf,AGO,Angola,GIN,Guinea,66607380.00000001,0.4007217071407924,-0.10880812548170102,0.9934692493629612
